YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,SCR_TCH_SN,LN_AMT
201901,315491,3,89268,01,16873,3000000
201910,208269,3,192905,01,4653,300000
201909,1191712,3,87775,01,24332,100000
202006,1312871,3,108813,01,20707,1000000
201909,0,1,176302,01,31886,100000
201807,500108,3,83502,01,8965,200000
201901,704005,3,190305,01,11048,30000
201907,1468944,3,96367,01,8207,80000
201903,1471772,3,162173,01,22510,200000
202006,730965,3,23294,01,17793,300000
202005,353791,3,35435,01,21530,400000
201905,1475750,3,138042,01,4446,400000
202004,1518788,3,169864,01,10039,20000
201907,1114292,3,133485,01,20151,100000
202002,19570,3,169811,01,3079,3000000
201901,363310,3,182108,01,18703,500000
201812,210882,3,174288,01,12156,500000
201808,16350,3,143363,01,12908,600000
201912,0,1,58612,01,21856,20000
201901,1441434,3,112026,01,32057,400000
201902,1117647,3,134963,01,25015,90000
202002,0,1,27166,01,6405,80000
202005,1442677,3,30396,01,19477,3000000
201902,1117647,3,134963,01,20189,600000
202004,0,1,27166,01,7228,80000
202003,0,1,24457,01,17227,100000
201912,1191712,3,87775,01,24332,100000
201806,311918,3,78293,01,17539,100000
202005,0,1,151042,01,22214,100000
201911,0,1,132448,01,16605,90000
201905,1437721,3,152180,01,22207,100000
201912,1717467,3,87364,01,25312,40000
201907,1312871,3,108813,01,25734,1000000
202003,691606,3,151141,01,5205,1000000
201911,1468944,3,96367,01,8207,30000
201906,1471772,3,162173,01,22510,200000
201906,0,1,47992,01,27711,80000
201911,627538,3,71652,01,24780,200000
201812,1732140,3,123453,01,23260,700000
201806,504150,3,66676,01,13616,1000000
201909,1567267,3,102915,01,11312,2000000
201906,1167202,3,127783,01,10488,2000000
202005,474852,3,138364,01,10046,200000
202003,380759,3,143823,01,3939,900000
201811,1690394,3,77537,01,29057,400000
201901,117595,3,110613,01,13936,30000
201812,0,1,88618,01,32253,100000
201807,210882,3,174288,01,18883,1000000
201807,1879475,3,83320,01,9823,3000000
202006,1306106,3,10509,01,11954,3000000
201907,0,1,115334,01,21614,80000
201809,1030620,3,102964,01,10400,200000
202006,1471772,3,162173,01,4350,300000
202001,1849960,3,27790,01,31932,3000000
201908,1384429,3,115404,01,17097,500000
201906,1117647,3,134963,01,15197,1000000
201903,608927,3,72973,01,33448,700000
201904,19570,3,169811,01,16227,2000000
201904,668951,3,146022,01,33074,60000
201909,0,1,8951,01,14462,100000
201909,1849960,3,27790,01,8195,3000000
202001,1571462,3,150733,01,2572,200000
201812,1223564,3,183909,01,18890,200000
201903,1471772,3,162173,01,18965,2000000
201811,647752,3,114234,01,4780,2000
201910,0,1,117863,01,24952,100000
201912,1475974,3,129270,01,19448,800000
201810,335556,3,90260,01,18784,600000
201806,500108,3,83502,01,8965,200000
201908,0,1,32627,01,234,100000
202001,1441434,3,112026,01,25296,200000
202001,145268,3,127673,01,9955,300000
201908,641496,3,115401,01,32399,400000
201811,1690394,3,77537,01,22742,900000
202004,1475974,3,129270,01,6510,40000
201809,1384429,3,115404,01,23892,500000
201907,0,1,159100,01,14507,100000
201903,0,1,194014,01,20498,100000
202002,1717467,3,87364,01,25312,30000
201903,210882,3,174288,01,12156,500000
201901,948786,3,131184,01,25106,90000
201906,627538,3,71652,01,6538,30000
201905,500108,3,83502,01,27526,3000000
201912,704005,3,190305,01,32255,50000
201906,1005876,3,162657,01,21896,90000
201811,0,1,194014,01,20498,100000
201903,1732140,3,123453,01,27994,100000
201911,233600,3,34667,01,30622,400000
202006,0,1,49362,01,12586,40000
201811,0,1,117863,01,24979,100000
201906,1616405,3,13836,01,5148,300000
201904,1732140,3,123453,01,3021,200000
201808,250349,3,109734,01,21882,900000
201904,1732140,3,123453,01,14163,200000
201808,0,1,165120,01,19594,100000
201901,0,1,93980,01,8932,100000
202005,1270559,3,137953,01,2348,200000
201905,0,1,8951,01,14462,100000
202002,0,1,5508,01,26153,50000
201810,295232,3,37868,01,6041,60000
201906,210882,3,174288,01,18883,1000000
201904,0,1,5508,01,26153,50000
201905,289810,3,82649,01,27691,600000
201907,571637,3,150308,01,30843,300000
202003,1306106,3,10509,01,11954,3000000
201908,1306106,3,10509,01,11079,1000000
202001,704005,3,190305,01,32255,50000
201911,641496,3,115401,01,31590,600000
202005,1441093,3,77701,01,1663,80000
201809,371455,3,15963,01,14513,60000
201911,151050,3,79699,01,1486,200000
201911,602546,3,124133,01,31680,400000
201910,1306106,3,10509,01,28487,300000
202004,1475750,3,138042,01,10877,300000
202006,0,1,176302,01,31886,100000
202005,1116429,3,60053,01,25512,8000
201807,1781911,3,179060,01,21445,3000000
201903,0,1,5508,01,26153,50000
202006,1183266,3,117831,01,20976,900000
201912,1442677,3,30396,01,19477,3000000
202002,0,1,32627,01,4334,100000
202002,233483,3,9080,01,28549,200000
201910,1883438,3,41482,01,6859,50000
201812,0,1,8951,01,25866,100000
201912,408383,3,135100,01,24,400000
201809,0,1,29609,01,5487,100000
201902,371455,3,15963,01,14513,50000
201904,12986,3,74655,01,11603,900000
201911,1475750,3,138042,01,11892,300000
201909,1306106,3,10509,01,32048,3000000
201901,1876407,3,185738,01,28333,500000
201902,1876407,3,185738,01,28333,800000
202001,0,1,94253,01,13167,100000
201907,112982,3,87224,01,25252,2000000
202002,0,1,72317,01,11780,100000
202006,1438325,3,147770,01,22099,90000
201903,1732140,3,123453,01,3021,200000
202001,1475974,3,129270,01,6510,40000
201812,704005,3,190305,01,11048,30000
201810,353791,3,35435,01,14985,200000
201908,1876407,3,185738,01,21024,1000000
201812,0,1,39657,01,25802,2000
202004,0,1,143857,01,27723,80000
201910,500108,3,83502,01,27526,3000000
201904,1437721,3,152180,01,22207,100000
201906,647752,3,114234,01,4780,200000
202004,1306106,3,10509,01,32048,3000000
201909,1475750,3,138042,01,838,100000
202003,1518788,3,169864,01,10039,20000
201807,500108,3,83502,01,2964,3000000
201909,1167202,3,127783,01,10488,2000000
201903,1306106,3,10509,01,444,1000000
201911,1938823,3,86662,01,12185,400000
201912,311918,3,78293,01,2298,500000
201904,1616734,3,117149,01,8421,80000
202005,0,1,115334,01,18040,40000
202002,208269,3,192905,01,4653,200000
201906,0,1,61938,01,16069,100000
202005,19570,3,169811,01,4581,2000000
202006,1416547,3,154525,01,18133,400000
202005,1475974,3,129270,01,6510,40000
201902,1938823,3,86662,01,27544,3000000
201908,1209288,3,138906,01,18427,1000000
202001,1928237,3,132888,01,26823,600000
202005,289810,3,82649,01,1526,600000
201807,608927,3,72973,01,15441,700000
202004,1616405,3,13836,01,16180,300000
202002,1475974,3,129270,01,19448,800000
202004,500108,3,83502,01,8965,100000
201912,0,1,74376,01,3335,100000
201808,1849960,3,27790,01,6146,3000000
202001,554859,3,123633,01,627,700000
201902,1223564,3,183909,01,18890,200000
201812,1384429,3,115404,01,17097,500000
201808,1616734,3,117149,01,2881,1000000
202006,0,1,135851,01,1992,70000
201903,19570,3,169811,01,16227,2000000
201807,0,1,165120,01,10768,100000
202003,1579790,3,23981,01,20178,600000
202006,1732140,3,123453,01,14018,100000
201910,380759,3,143823,01,7582,300000
201912,145268,3,127673,01,9955,300000
201911,430058,3,6100,01,19109,100000
201912,500108,3,83502,01,8965,100000
201904,1117647,3,134963,01,15197,1000000
201910,1475750,3,138042,01,19334,3000000
202004,0,1,93980,01,22591,100000
201811,1732140,3,123453,01,23260,700000
201812,500108,3,83502,01,13351,100000
202005,289810,3,82649,01,31720,3000000
201808,1244695,3,193547,01,16059,300000
201901,0,1,104624,01,29899,100000
202006,0,1,36830,01,19977,80000
202005,1167202,3,127783,01,16445,100000
201807,1437721,3,152180,01,22207,100000
201909,1702363,3,8672,01,8710,100000
201912,158430,3,188071,01,24588,200000
201810,1030620,3,102964,01,18326,100000
202002,438263,3,148462,01,23149,400000
202002,295232,3,37868,01,6406,60000
202005,1503298,3,60042,01,17163,100000
202005,474083,3,180627,01,31272,500000
201905,1475750,3,138042,01,11892,800000
201909,1879475,3,83320,01,23500,700000
202003,1732432,3,42420,01,16045,90000
201912,208269,3,192905,01,4653,300000
201806,1437721,3,152180,01,22207,100000
201904,0,1,130258,01,16649,100000
201910,1649649,3,117102,01,12452,500000
201909,1442677,3,30396,01,30326,3000000
202001,602546,3,124133,01,24518,2000000
202002,1442677,3,30396,01,30443,400000
201910,151050,3,79699,01,1486,200000
202001,1805344,3,51868,01,16412,2000000
201903,1306106,3,10509,01,28487,300000
201812,1167202,3,127783,01,8452,1000000
201902,0,1,165120,01,10768,100000
202004,0,1,74376,01,3335,100000
202001,449121,3,26043,01,6035,3000000
201912,1441434,3,112026,01,25296,200000
202006,1616734,3,117149,01,32584,1000000
202001,1883438,3,41482,01,6859,40000
201811,991472,3,125413,01,27047,400000
201910,685675,3,122136,01,23876,100000
201911,1191004,3,131103,01,18575,1000000
202005,1523929,3,36384,01,15341,2000000
201807,875454,3,100999,01,18185,100000
202002,0,1,88381,01,25610,100000
201910,1312871,3,108813,01,16287,1000000
201910,1222502,3,170213,01,31567,500000
202006,0,1,5508,01,25503,50000
201902,1471772,3,162173,01,18965,2000000
201912,1649649,3,117102,01,12452,500000
201808,327705,3,110157,01,25051,20000
202005,627538,3,71652,01,18351,30000
201810,219940,3,34207,01,404,200000
202002,1150988,3,130731,01,5701,3000000
201910,1441434,3,112026,01,25296,200000
201812,641496,3,115401,01,2538,400000
201809,608927,3,72973,01,15441,700000
201906,353791,3,35435,01,21530,500000
201810,112982,3,87224,01,29268,2000000
201902,1437721,3,152180,01,22207,100000
201904,0,1,165120,01,19594,100000
201903,151050,3,79699,01,11022,80000
201911,1441434,3,112026,01,25296,200000
202004,0,1,175641,01,22845,100000
201809,1579790,3,23981,01,12893,500000
201808,0,1,104624,01,29899,100000
201906,0,1,104600,01,13485,100000
201904,0,1,93980,01,8932,100000
201902,1567267,3,102915,01,11312,2000000
201809,0,1,159100,01,5742,100000
202004,1503298,3,60042,01,17163,100000
201810,0,1,115334,01,28567,100000
201903,1475750,3,138042,01,22724,100000
201809,1191712,3,87775,01,15914,400000
201812,123859,3,109168,01,12407,800000
201909,295232,3,37868,01,6406,60000
202002,1709752,3,139626,01,11441,400000
201811,1312871,3,108813,01,13747,400000
201904,97906,3,183365,01,26544,60000
201907,0,1,104600,01,13485,100000
202001,1567267,3,102915,01,13784,3000000
201910,1879475,3,83320,01,29583,600000
201809,1438325,3,147770,01,11799,70000
201905,1030620,3,102964,01,2384,200000
201905,0,1,72317,01,24708,100000
202003,991472,3,125413,01,1370,1000000
201910,1117647,3,134963,01,18109,90000
201808,504150,3,66676,01,13616,1000000
201910,449121,3,26043,01,1488,2000000
201809,1781911,3,179060,01,9552,100000
201807,47029,3,60029,01,6194,400000
201807,1338382,3,193593,01,1905,300000
201901,602546,3,124133,01,33590,2000000
202003,1468944,3,96367,01,8207,90000
201808,602546,3,124133,01,33590,2000000
202001,335659,3,139033,01,11662,200000
201902,1732140,3,123453,01,30195,200000
201905,1913925,3,179490,01,23099,300000
201908,1849960,3,27790,01,8195,3000000
202005,1306106,3,10509,01,11954,3000000
201902,1475750,3,138042,01,24684,300000
201911,0,1,58612,01,21856,30000
202003,504150,3,66676,01,17854,1000000
202003,1209288,3,138906,01,11418,1000000
202005,0,1,53856,01,22752,70000
201910,327705,3,110157,01,25051,30000
201811,1117647,3,134963,01,25015,90000
201910,627538,3,71652,01,6538,30000
201807,258076,3,75502,01,32239,400000
202005,1876407,3,185738,01,21024,800000
201809,1222502,3,170213,01,31567,500000
202001,0,1,184203,01,32115,100000
202005,0,1,155902,01,19746,100000
201910,363310,3,182108,01,7133,1000000
201904,1475750,3,138042,01,14064,2000000
201811,145268,3,127673,01,9955,400000
201903,500108,3,83502,01,13351,100000
201904,0,1,61938,01,16069,100000
201906,1306106,3,10509,01,33057,3000000
201807,0,1,159100,01,5742,100000
202003,1306106,3,10509,01,11079,1000000
202001,363310,3,182108,01,7133,800000
202005,1306106,3,10509,01,25462,1000000
201906,1883438,3,41482,01,6859,50000
201905,1616734,3,117149,01,25219,1000000
201810,1335817,3,23048,01,25724,500000
201909,1438325,3,147770,01,22099,100000
202005,686922,3,104851,01,9229,100000
201809,1702363,3,8672,01,24611,200000
202006,1191712,3,87775,01,30426,300000
201910,641496,3,115401,01,23763,600000
202001,380759,3,143823,01,7582,300000
201911,327705,3,110157,01,25051,30000
202003,500108,3,83502,01,13351,100000
201908,556939,3,86293,01,19361,400000
201910,1805344,3,51868,01,16412,400000
202003,1876407,3,185738,01,21024,900000
201906,1209288,3,138906,01,18427,1000000
201910,1005876,3,162657,01,21896,90000
201908,627538,3,71652,01,24780,300000
201812,554859,3,123633,01,19771,1000000
202005,1883438,3,41482,01,21339,40000
201907,627538,3,71652,01,6538,30000
201912,1732140,3,123453,01,22947,600000
201908,1475974,3,129270,01,19448,500000
201809,19570,3,169811,01,9433,3000000
201911,641496,3,115401,01,32399,300000
202001,1913925,3,179490,01,23099,300000
201905,1306106,3,10509,01,16258,3000000
201912,0,1,109859,01,8955,100000
201905,151050,3,79699,01,17343,200000
202004,500108,3,83502,01,13351,100000
201911,1384429,3,115404,01,10139,600000
201808,180996,3,132466,01,18458,70000
201907,19570,3,169811,01,9433,3000000
201904,1116429,3,60053,01,13953,20000
201902,0,1,61938,01,16069,100000
201903,1117647,3,134963,01,15197,1000000
202004,0,1,165120,01,471,100000
201809,875454,3,100999,01,4220,3000000
201808,1938823,3,86662,01,27544,3000000
201905,602546,3,124133,01,24518,2000000
201902,335556,3,90260,01,18784,600000
201811,1649649,3,117102,01,14492,80000
202002,1649649,3,117102,01,12452,500000
201910,196874,3,47159,01,19894,900000
201906,641496,3,115401,01,32399,400000
201906,97906,3,183365,01,26544,60000
202005,1475750,3,138042,01,19334,3000000
201908,1191712,3,87775,01,24332,100000
202006,474852,3,138364,01,10046,200000
201812,602546,3,124133,01,33590,2000000
201903,556939,3,86293,01,19361,400000
202005,1183266,3,117831,01,15734,100000
201908,135631,3,117416,01,10659,200000
201909,1141991,3,11644,01,13133,90000
201808,311918,3,78293,01,17539,100000
202003,1441093,3,77701,01,1663,80000
202006,573468,3,54149,01,17248,2000000
201904,1732140,3,123453,01,23260,700000
201911,0,1,109859,01,8955,100000
202006,0,1,88381,01,25610,100000
201809,1005876,3,162657,01,21896,90000
201908,955318,3,14127,01,25421,200000
202002,123859,3,109168,01,14699,800000
201908,430058,3,6100,01,19109,100000
201908,602546,3,124133,01,16401,300000
201902,258076,3,75502,01,32239,400000
202004,0,1,72036,01,17311,100000
202003,1702363,3,8672,01,8710,100000
202004,0,1,184203,01,32115,100000
201901,16350,3,143363,01,11715,700000
201902,1471772,3,162173,01,8010,200000
202004,1781911,3,179060,01,5723,3000000
202005,39565,3,80401,01,7748,60000
202002,1616405,3,13836,01,16180,300000
202004,0,1,135851,01,1992,70000
201911,1455632,3,32748,01,15575,300000
201911,0,1,184203,01,32115,100000
201911,1875215,3,143472,01,8053,1000000
202005,955318,3,14127,01,206,200000
201807,686922,3,104851,01,7337,100000
202006,1518788,3,169864,01,10039,20000
202002,500108,3,83502,01,13351,100000
201912,1005876,3,162657,01,21896,90000
202005,394118,3,173162,01,18659,400000
201907,363310,3,182108,01,9131,400000
201808,1690394,3,77537,01,22742,900000
201906,1306106,3,10509,01,11079,1000000
201906,1732140,3,123453,01,14163,200000
202001,1191712,3,87775,01,24332,100000
202005,449121,3,26043,01,6035,3000000
202002,1209288,3,138906,01,11418,1000000
202003,0,1,101852,01,8955,100000
201912,641686,3,33784,01,33084,50000
201901,1475750,3,138042,01,14064,2000000
201908,1223564,3,183909,01,17940,200000
202004,1044027,3,37350,01,16242,3000000
201905,233483,3,9080,01,28549,300000
201908,12986,3,74655,01,11603,900000
201902,500108,3,83502,01,13351,100000
201912,1879475,3,83320,01,26613,3000000
201902,1030620,3,102964,01,10400,200000
201905,0,1,130258,01,16649,100000
201806,1191712,3,87775,01,15914,300000
202006,1191004,3,131103,01,18575,1000000
201812,0,1,195138,01,4864,100000
201903,135631,3,117416,01,10659,200000
201911,0,1,24457,01,17227,100000
201807,1522763,3,80812,01,702,400000
202001,1438325,3,147770,01,22099,100000
201905,1567267,3,102915,01,11312,2000000
202006,1219769,3,33480,01,15621,200000
201810,0,1,159100,01,5742,100000
201907,0,1,175641,01,22845,100000
202006,242153,3,43141,01,1230,2000000
201912,474852,3,138364,01,10046,200000
201901,1781911,3,179060,01,21445,3000000
201809,1437721,3,152180,01,22207,100000
201905,493504,3,67000,01,3692,300000
201810,1222502,3,170213,01,31567,500000
201908,210882,3,174288,01,4622,400000
201901,1616405,3,13836,01,5148,300000
201907,0,1,153495,01,16831,100000
201808,641496,3,115401,01,2538,400000
201905,1117647,3,134963,01,20189,1000000
201810,647752,3,114234,01,9569,1000
201811,371455,3,15963,01,14513,60000
201810,1849960,3,27790,01,8195,3000000
201903,0,1,155902,01,18423,100000
202001,1938823,3,86662,01,10824,3000000
202006,1452211,3,174031,01,13640,100000
202004,0,1,16181,01,31455,50000
201905,743651,3,187994,01,17355,200000
201910,1468944,3,96367,01,8207,70000
201912,0,1,29609,01,10937,100000
201906,1579790,3,23981,01,25332,200000
202006,0,1,117863,01,24952,100000
201909,571637,3,150308,01,30843,300000
201904,289810,3,82649,01,10125,3000000
201810,0,1,104624,01,29899,100000
201903,233600,3,34667,01,30622,400000
202004,1173610,3,8347,01,2281,3000000
201806,1760166,3,36233,01,6596,1000000
201902,180996,3,132466,01,27561,70000
201911,1338382,3,193593,01,1905,200000
202006,1619156,3,158716,01,1342,3000000
202003,335659,3,139033,01,11662,200000
202003,1047379,3,130855,01,4686,200000
201809,1183266,3,117831,01,29634,500000
201812,133481,3,165022,01,23419,600000
201808,1275870,3,76318,01,22168,400000
202001,691606,3,151141,01,5205,1000000
202001,1468944,3,96367,01,8207,80000
201907,1732140,3,123453,01,23260,700000
201905,180996,3,132466,01,27561,70000
201909,1781911,3,179060,01,5723,3000000
201812,1567267,3,102915,01,13784,3000000
202006,1338382,3,193593,01,1905,200000
202002,948786,3,131184,01,14921,70000
201905,16350,3,143363,01,11715,700000
201901,641496,3,115401,01,23763,500000
201910,1191712,3,87775,01,28438,500000
201908,1938823,3,86662,01,27155,400000
201811,691606,3,151141,01,6412,200000
201807,311918,3,78293,01,17539,100000
201904,1117647,3,134963,01,20189,600000
201807,1471772,3,162173,01,18965,2000000
202002,0,1,86782,01,2992,100000
202005,0,1,73170,01,7949,30000
201908,1191004,3,131103,01,2790,700000
201807,0,1,159100,01,31919,100000
201901,1892969,3,111414,01,5022,3000000
201809,1732140,3,123453,01,103,700000
201809,0,1,93980,01,8932,100000
202001,0,1,169840,01,14748,100000
201807,1781911,3,179060,01,10384,200000
202006,289810,3,82649,01,1526,600000
201907,641496,3,115401,01,32399,400000
201908,608927,3,72973,01,33448,700000
201903,133481,3,165022,01,6345,80000
201806,327705,3,110157,01,25051,10000
201912,685675,3,122136,01,23876,100000
201808,0,1,165120,01,10768,100000
201911,1030620,3,102964,01,27306,60000
202005,1738590,3,107601,01,18889,600000
201907,311918,3,78293,01,2298,600000
201908,0,1,103045,01,32370,40000
202003,1938823,3,86662,01,12185,400000
201909,1183266,3,117831,01,19636,500000
202006,0,1,34650,01,26015,100000
201901,0,1,159100,01,14507,100000
201812,311918,3,78293,01,17539,1000000
201806,47029,3,60029,01,6194,200000
201902,1191004,3,131103,01,2790,800000
201907,1875215,3,143472,01,8053,1000000
201807,1452211,3,174031,01,14220,90000
201907,1503298,3,60042,01,12002,20000
201906,0,1,86782,01,2992,100000
202004,1209288,3,138906,01,11418,1000000
202005,242153,3,43141,01,10883,700000
202006,0,1,91616,01,25048,100000
201807,1244695,3,193547,01,2836,600000
201811,295232,3,37868,01,6041,60000
202002,289810,3,82649,01,31720,3000000
201910,1616405,3,13836,01,5148,300000
202006,145268,3,127673,01,9955,300000
201808,145268,3,127673,01,9955,400000
202003,0,1,74376,01,3335,100000
