YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,GRNT_CD,GRNT_AMT,GRNT_DT
202002,479596,1,01,2286226,0,0033,30000,200708
201806,808,1,12,5612646,0,0033,500000,201005
202001,171955,1,17,3842671,0,0033,20000,201710
202006,992618,1,24,417178,0,0033,3000,201603
201904,1930469,1,01,6863898,0,0033,20000,201605
201912,1885809,1,03,8025209,0,0033,5000,200501
201911,935254,1,01,4211034,0,0033,60000,201505
201912,1413331,1,01,8153490,0,0033,20000,201802
202004,1000448,1,01,22004,0,0033,600000,201312
201806,1019319,1,12,7500003,0,0033,3000,200806
201903,1571650,1,12,8113705,0,0033,100000,201610
201907,1835543,1,03,2867887,0,0033,20000,200501
201906,1391619,1,01,9500909,0,0033,30000,200906
201901,49170,1,12,7884104,0,0033,30000,201301
202001,373764,1,01,2463425,0,0033,200000,201707
202002,1011342,1,24,2553276,0,0033,5000,201703
202002,1252953,1,05,1636943,0,0033,10000,201806
201902,1417847,1,17,9415965,0,0033,20000,201807
201906,654553,1,12,5252369,0,0033,200000,200903
201902,837406,1,01,6390196,0,0033,20000,201901
201902,623363,1,21,459136,0,0033,3000000,201902
201808,376463,1,01,4958777,0,0033,70000,201608
201903,1571650,1,01,5774266,0,0033,90000,200912
202002,1171606,1,01,4165989,0,0033,400000,201112
201806,1882257,1,21,9746377,0,0033,200000,200805
201907,950021,1,01,8338019,0,0033,6000,201811
202002,1649388,1,01,6193827,0,0033,2000,201906
201901,1841690,1,12,3132209,0,0033,40000,201608
201901,1299285,1,12,7628288,0,0033,200000,201308
201808,716092,1,03,1762507,0,0033,6000,200501
201909,1486629,1,01,4208635,0,0033,200000,201808
202002,1910201,1,01,5651299,0,0033,10000,201307
201903,968390,1,12,9166131,0,0033,400000,201503
202006,223979,1,01,9970516,0,0033,10000,201802
201908,1924066,1,03,5948343,0,0033,80000,201309
201905,1864748,1,03,1337428,0,0033,100,200907
201902,1051722,1,01,4630954,0,0033,100000,201507
201811,72474,1,16,7641530,0,0033,40000,201704
201903,1745253,1,12,8617222,0,0033,50000,200909
201806,1619378,1,16,5816756,0,0033,800,201708
201812,49170,1,01,9838880,0,0033,2000000,201504
201904,608729,1,03,8153107,0,0033,2000000,201904
201907,1724514,1,12,2664999,0,0033,70000,201710
201909,421038,1,21,4331924,0,0033,400000,201509
201810,1825256,1,01,6383048,0,0033,2000000,201105
201901,1437023,1,12,3749140,0,0033,30000,201705
201811,559043,1,03,6885638,0,0033,6000,200501
201912,600435,1,01,684246,0,0033,5000,201408
201904,864629,1,24,7206854,0,0033,3000,201704
201908,873656,1,05,7149496,0,0033,30000,201903
202005,555603,1,01,3268138,0,0033,100,200612
201808,1326728,1,12,6214967,0,0033,60000,201803
201904,1145078,1,01,9562457,0,0033,500000,201802
201808,1074067,1,12,1538489,0,0033,30000,200606
201908,1680180,1,01,9748956,0,0033,100000,200501
201902,301902,1,12,5958504,0,0033,100000,201810
201809,1334987,1,03,875032,0,0033,100,200606
201908,1417847,1,01,5584349,0,0033,200000,201607
201905,830017,1,12,9236615,0,0033,50000,201903
201806,1213351,1,12,7780264,0,0033,100000,201712
201910,992618,1,24,417178,0,0033,3000,201603
201812,1344212,1,12,8375847,0,0033,40000,200501
201809,376463,1,01,4958777,0,0033,70000,201608
202005,867781,1,12,1241169,0,0033,200000,201611
201812,1171606,1,12,4385814,0,0033,300000,201602
201901,167046,1,12,5835610,0,0033,200000,200501
201806,1777072,1,17,7512636,0,0033,300,201203
201904,1299285,1,12,7628288,0,0033,200000,201308
201906,171955,1,17,3842671,0,0033,90000,201710
201903,167950,1,03,7889971,0,0033,5000,201209
202002,880988,1,12,2281572,0,0033,200000,201101
201809,1232297,1,16,7789799,0,0033,30000,201712
201910,786592,1,12,9446196,0,0033,200000,201711
201905,739112,1,21,3072642,0,0033,2000000,201805
201903,1628751,1,12,1136926,0,0033,60000,201602
202002,1835543,1,03,2867887,0,0033,20000,200606
201807,1455069,1,12,3079960,0,0033,100000,201701
201907,939018,1,12,203435,0,0033,5000,201905
201908,582449,1,12,5586815,0,0033,500000,201902
201809,314604,1,12,2366696,0,0033,30000,201512
201905,1437023,1,01,4816741,0,0033,7000,201705
201905,1326728,1,12,5270126,0,0033,300000,201406
201809,1631705,1,01,7435779,0,0033,3000,201710
201912,1876862,1,17,2868015,0,0033,40000,201804
201812,968390,1,01,9240708,0,0033,8000,201507
201907,1500128,1,03,5323880,0,0033,60000,201408
201811,550511,1,12,1644093,0,0033,10000,200501
201901,1417847,1,12,8030741,0,0033,200000,201606
201903,1511959,1,01,2114757,0,0033,9000,201608
201908,211265,1,03,6207144,0,0033,100,200501
201810,1171606,1,01,6159482,0,0033,400000,201403
202002,1881891,1,24,4805061,0,0033,3000,201603
201812,506094,1,03,4602771,0,0033,4000,200501
201912,1571650,1,01,5774266,0,0033,90000,200912
201808,329412,1,12,9809412,0,0033,200000,201110
201806,1484540,1,17,4416238,0,0033,20000,201707
202001,1213351,1,01,7359426,0,0033,10000,201712
201812,1596650,1,12,8564733,0,0033,20000,201704
201808,1099164,1,01,2885958,0,0033,20000,201502
202005,1240432,1,01,8297774,0,0033,40000,201112
202004,871079,1,01,3992245,0,0033,3000,200709
201811,376463,1,12,3610847,0,0033,100000,201611
201912,1299285,1,12,7628288,0,0033,200000,201308
201806,183610,1,17,1636464,0,0033,3000,201612
201901,1224164,1,01,8294066,0,0033,2000000,201104
202004,529756,1,12,9937136,0,0033,60000,201510
201912,1071522,1,12,4369839,0,0033,50000,201705
201809,563293,1,12,765023,0,0033,20000,201608
201904,988796,1,12,3676378,0,0033,6000000,200501
201904,529756,1,01,9237981,0,0033,800000,201712
201904,1745042,1,01,9689347,0,0033,10000,201706
201902,651352,1,03,6202235,0,0033,100,200709
202001,1437023,1,12,3749140,0,0033,20000,201705
201912,465344,1,17,4636127,0,0033,10000,201802
201906,1109039,1,12,6900993,0,0033,200000,201906
202004,71799,1,12,4582290,0,0033,10000,201503
201908,1340176,1,12,8665100,0,0033,300000,200509
201808,421038,1,01,3162681,0,0033,100000,201606
201906,1121006,1,12,6398913,0,0033,300000,201612
201901,1786558,1,03,8053273,0,0033,100,200501
201902,1053281,1,12,5511033,0,0033,50000,201411
201809,308424,1,03,313535,0,0033,5000,200807
201909,1417273,1,01,9182401,0,0033,100000,201202
201810,954364,1,12,7074066,0,0033,200000,200709
201810,483259,1,16,2720363,0,0033,50000,201805
201808,973213,1,12,6916217,0,0033,9000,200501
201909,1678017,1,03,5713140,0,0033,100,200501
201807,1505394,1,12,157202,0,0033,100000,200501
201903,288114,1,03,3171225,0,0033,4000,200501
201902,1942870,1,01,4412039,0,0033,40000,201804
201907,1019504,1,01,2510112,0,0033,200000,201902
202002,336459,1,12,1717210,0,0033,80000,200504
201806,1410184,1,01,8208199,0,0033,4000,201011
201907,657459,1,12,9837681,0,0033,9000,201511
201809,871762,1,12,4151928,0,0033,20000,201209
201911,421038,1,17,1238349,0,0033,8000,201805
202001,1305782,1,12,4900872,0,0033,80000,201302
202006,561497,1,03,8946148,0,0033,900,201012
201904,1127483,1,21,2103147,0,0033,2000000,201803
201910,1098203,1,12,9735163,0,0033,500000,201502
202001,1532126,1,21,6162982,0,0033,300000,201809
201903,1326728,1,17,2191205,0,0033,60000,201703
201911,1907640,1,17,7458487,0,0033,100000,201810
201907,196655,1,03,3147092,0,0033,30000,200501
201904,1505394,1,12,157202,0,0033,100000,200501
201901,1043685,1,03,2956506,0,0033,100,200501
202004,17540,1,01,1901309,0,0033,100000,200501
201907,729839,1,12,4719008,0,0033,10000,201603
201909,1305774,1,03,5149523,0,0033,100,200501
201907,1930469,1,01,6863898,0,0033,20000,201605
202005,1391619,1,01,9049091,0,0033,30000,200711
201905,1931414,1,01,6810326,0,0033,20000,201402
201911,515606,1,12,9204529,0,0033,200000,201904
201912,1328769,1,17,4021214,0,0033,80000,201912
202004,1564585,1,01,3126197,0,0033,3000000,201209
201812,968390,1,17,10046955,0,0033,70000,201711
201910,200893,1,12,1226976,0,0033,60000,201711
202002,1748100,1,12,709674,0,0033,300000,200809
202005,973213,1,12,6916217,0,0033,9000,200501
202001,1324536,1,12,5766206,0,0033,30000,201006
201909,1246099,1,12,7153279,0,0033,30000,201605
201908,657459,1,12,9837681,0,0033,9000,201511
202001,1708494,1,12,3760473,0,0033,20000,201703
201904,968390,1,17,10046955,0,0033,70000,201711
202004,1505394,1,03,563062,0,0033,100,200501
202002,1391619,1,01,9049091,0,0033,30000,200711
201905,279780,1,01,1975146,0,0033,70000,201111
201907,1391619,1,01,9049091,0,0033,30000,200711
201811,755473,1,01,7514765,0,0033,10000,201402
201907,938068,1,12,8871039,0,0033,4000,201510
202006,971177,1,05,1183970,0,0033,10000,201909
202003,219169,1,01,5686087,0,0033,300000,201608
202001,786040,1,16,8216444,0,0033,20000,201912
201902,1542773,1,17,593811,0,0033,1000,201602
201903,1417847,1,12,8030741,0,0033,200000,201606
201906,223290,1,12,3722534,0,0033,4000,201502
201907,617618,1,01,1206699,0,0033,2000000,201801
201902,871762,1,12,4151928,0,0033,20000,201209
201910,1390676,1,21,7614084,0,0033,700000,201203
201807,1133606,1,17,5373180,0,0033,100000,201707
201901,1355373,1,12,3077929,0,0033,10000,201704
201910,1127483,1,21,2103147,0,0033,2000000,201803
201905,1308071,1,03,25736,0,0033,20000,200501
202006,1861198,1,03,3844313,0,0033,20000,200501
201806,524888,1,21,4569384,0,0033,60000,201305
201910,1168534,1,01,6187275,0,0033,400000,201906
201905,1745042,1,17,3758908,0,0033,90000,201702
201806,838379,1,17,5209865,0,0033,6000,201605
201812,504676,1,12,7446713,0,0033,40000,201702
201902,198993,1,01,960193,0,0033,10000,201812
201808,1486628,1,01,9627993,0,0033,100000,200501
201901,1955112,1,17,274076,0,0033,3000,201407
202004,1127483,1,13,8745973,0,0033,3000000,201803
201902,662505,1,21,2041482,0,0033,50000,201206
202001,1391619,1,12,903248,0,0033,20000,201711
201903,949373,1,21,1835576,0,0033,3000000,201901
201809,800792,1,17,3991716,0,0033,30000,201610
201904,1583005,1,12,1487289,0,0033,20000,201611
201808,1841690,1,12,3132209,0,0033,40000,201608
201809,629130,1,21,9064750,0,0033,5000000,201803
202001,629130,1,17,5717393,0,0033,9000000,202001
202002,744187,1,12,2592450,0,0033,100000,201203
201811,1278794,1,16,8863398,0,0033,10000,201505
202005,1643484,1,17,8524992,0,0033,80000,201712
202002,381672,1,17,6842691,0,0033,200000,201712
201809,561497,1,03,8946148,0,0033,3000,201012
201907,786592,1,01,6377816,0,0033,70000,201706
201911,1704937,1,12,8693550,0,0033,7000,200501
201907,1308071,1,03,25736,0,0033,20000,200501
201905,450618,1,12,5999270,0,0033,30000,200501
201812,1876862,1,01,3995973,0,0033,30000,201705
201809,1671539,1,17,5303552,0,0033,3000,201411
201806,662250,1,12,9793274,0,0033,100000,201106
201906,1951799,1,12,2018608,0,0033,20000,200606
202002,1838191,1,12,1845125,0,0033,200000,201710
201901,1634698,1,03,5140047,0,0033,100,200501
201906,1079720,1,01,9897610,0,0033,700000,200906
202002,1745253,1,12,7560541,0,0033,5000,201006
201806,642648,1,12,7842122,0,0033,200000,201708
201909,550511,1,12,1644093,0,0033,10000,200501
201907,1568884,1,03,7228006,0,0033,20000,200501
202005,340332,1,12,6982133,0,0033,200000,201909
201909,644598,1,03,505660,0,0033,6000,200501
202006,1010444,1,03,2324287,0,0033,4000,200701
201906,1278062,1,01,4324896,0,0033,10000,201501
201906,1604227,1,16,5135979,0,0033,100000,201204
201910,1915469,1,12,7074493,0,0033,30000,201606
201809,1358630,1,12,2757778,0,0033,5000,201803
201901,524888,1,21,4569384,0,0033,60000,201305
201908,196655,1,03,3147092,0,0033,30000,200501
202003,973474,1,03,44593,0,0033,40000,200501
201907,1413331,1,01,8153490,0,0033,30000,201802
201907,1694265,1,03,6972053,0,0033,4000,200501
202002,1623068,1,03,10005120,0,0033,5000,201105
202006,375403,1,03,9289658,0,0033,800000,200701
201904,1680180,1,12,9539660,0,0033,200000,200501
201911,198993,1,01,960193,0,0033,10000,201812
201810,1127483,1,21,1358587,0,0033,4000000,201803
201906,1127483,1,21,2722450,0,0033,4000000,201803
201903,1169752,1,03,2242840,0,0033,40000,200501
201810,230963,1,17,4622450,0,0033,9000,201504
201909,851389,1,12,5155113,0,0033,200000,201905
201903,1014393,1,01,2282340,0,0033,100,200501
201808,560364,1,17,424275,0,0033,30000,201706
202002,785936,1,01,1844510,0,0033,80000,201709
201902,1360236,1,03,8384150,0,0033,8000,200501
202003,197429,1,01,4199710,0,0033,100,200501
202005,1784042,1,12,8461339,0,0033,30000,201911
201910,1883260,1,12,1201999,0,0033,20000,201401
201907,1166474,1,17,655449,0,0033,50000,201906
201904,1071522,1,12,4369839,0,0033,50000,201705
201911,1117631,1,24,7099442,0,0033,9000,201304
201908,1171606,1,01,9619921,0,0033,100000,201306
201905,1051722,1,01,4630954,0,0033,100000,201507
202002,118296,1,03,6700813,0,0033,20000,201010
201905,1326728,1,17,6032409,0,0033,300000,201703
201807,1350922,1,21,8473973,0,0033,90000,201708
201901,590194,1,12,3997976,0,0033,60000,201712
201904,227166,1,01,1244999,0,0033,100,200812
202004,944547,1,12,7552185,0,0033,20000,201711
201807,1417847,1,17,9425526,0,0033,40000,201709
202003,211265,1,03,6207144,0,0033,100,200501
202003,1455069,1,12,3079960,0,0033,100000,201701
202005,623363,1,24,9325934,0,0033,8000,200501
201806,1284556,1,01,4772738,0,0033,10000,201802
201808,920907,1,16,3838026,0,0033,100000,201803
201809,1000448,1,01,22004,0,0033,500000,201312
201907,1896951,1,03,9697500,0,0033,3000,201110
201910,744187,1,24,8432092,0,0033,900,201207
202003,375403,1,17,2105052,0,0033,30000,201902
201808,1287067,1,01,6578553,0,0033,100000,201711
201906,1907640,1,17,7458487,0,0033,100000,201810
201810,378960,1,03,4165104,0,0033,100,200809
201910,830017,1,12,9236615,0,0033,50000,201903
202005,278998,1,01,1069164,0,0033,300000,202002
201912,570122,1,17,6655443,0,0033,1000,201701
201903,25820,1,01,5348086,0,0033,6000,200705
201907,1564585,1,01,3126197,0,0033,3000000,201209
201905,348975,1,03,427559,0,0033,8000,200501
202001,1067485,1,12,411677,0,0033,100000,201809
202001,968390,1,12,1465666,0,0033,50000,201612
201903,1358630,1,12,2757778,0,0033,5000,201803
201911,497083,1,12,4748219,0,0033,60000,201706
201901,402372,1,12,9043177,0,0033,30000,201207
201812,183610,1,12,6109372,0,0033,20000,201810
201810,672092,1,12,5954607,0,0033,20000,201310
201806,1653913,1,12,150760,0,0033,50000,201708
201905,62246,1,03,1943072,0,0033,100,200501
201806,1277006,1,01,8352200,0,0033,10000,201801
201910,1511959,1,01,2114757,0,0033,8000,201608
202005,1417847,1,01,5584349,0,0033,400000,201607
201808,1326728,1,05,1752008,0,0033,50000,201805
201910,775621,1,12,2825473,0,0033,100000,201902
201905,968390,1,13,6320839,0,0033,60000,201903
201907,529756,1,01,9237981,0,0033,800000,201712
202002,1297944,1,17,2384719,0,0033,40000,201905
201908,376463,1,01,2299025,0,0033,100000,200911
201806,935254,1,05,637818,0,0033,60000,201806
201811,643096,1,01,1163606,0,0033,2000,201801
202006,1240432,1,12,2754792,0,0033,200000,201405
201904,1952789,1,12,4183509,0,0033,20000,200905
201905,1844046,1,12,8876171,0,0033,6000,201504
201910,506094,1,03,4602771,0,0033,4000,200501
202003,1328769,1,17,4021214,0,0033,80000,201912
201807,1352270,1,01,8706624,0,0033,6000,200804
202001,714605,1,12,7967238,0,0033,10000,200501
201902,227166,1,01,1244999,0,0033,100,200812
201807,1278062,1,01,4324896,0,0033,10000,201501
201912,1922267,1,12,6604553,0,0033,200000,201812
202004,510770,1,24,7626885,0,0033,2000,201506
201905,864629,1,24,5212826,0,0033,4000,201708
201911,1340176,1,16,8086810,0,0033,9000,201704
201906,1896951,1,03,9697500,0,0033,3000,201110
202006,1015998,1,24,7864651,0,0033,2000,201212
201807,812535,1,01,1045918,0,0033,1000000,201607
201901,956894,1,03,8130098,0,0033,3000,200501
202001,1458959,1,12,823651,0,0033,20000,201805
202002,1232297,1,17,1213293,0,0033,100000,201708
201811,805778,1,12,318773,0,0033,60000,201708
201906,882801,1,03,9095043,0,0033,3000,200501
201902,1116255,1,01,8617494,0,0033,10000,200501
201809,578755,1,03,1614532,0,0033,2000,200501
201811,1749363,1,12,181264,0,0033,1000,200501
201905,935254,1,01,4211034,0,0033,60000,201505
201810,1410184,1,01,8208199,0,0033,4000,201011
201911,988796,1,12,3676378,0,0033,6000000,200501
201909,164881,1,03,3887214,0,0033,4000,200501
202003,968390,1,13,6320839,0,0033,50000,201903
201807,805778,1,12,318773,0,0033,60000,201708
201907,1091876,1,17,2049640,0,0033,30000,201805
201906,563190,1,12,8610670,0,0033,500,201307
201904,555603,1,12,8503980,0,0033,200000,200902
202002,1651459,1,16,7074440,0,0033,400,201703
201907,529756,1,12,9937136,0,0033,60000,201510
201808,164359,1,01,5037131,0,0033,20000,201601
201807,1331735,1,01,6759317,0,0033,500000,200501
201809,1950456,1,03,2883021,0,0033,20000,200710
201810,952035,1,03,4202524,0,0033,20000,200607
201910,232694,1,12,5147626,0,0033,20000,201402
201909,71799,1,12,4582290,0,0033,30000,201503
201810,1532126,1,21,6461554,0,0033,2000000,201809
201807,1615973,1,01,9568650,0,0033,7000,201712
201809,1485255,1,05,3973636,0,0033,30000,201807
201903,84709,1,17,2811421,0,0033,20000,201603
201809,885766,1,01,2574567,0,0033,300000,200604
201906,666043,1,16,5591072,0,0033,10000,201604
202001,1615973,1,12,5537248,0,0033,100000,201712
201809,1258104,1,12,1727484,0,0033,200000,201108
201901,73324,1,03,2736817,0,0033,2000,200708
201907,1853588,1,12,2925781,0,0033,50000,201107
201910,1853588,1,24,5969121,0,0033,70000,201009
201902,1828825,1,12,2128219,0,0033,20000,200501
201807,1004528,1,12,2681129,0,0033,7000,201204
201903,1321700,1,01,5433932,0,0033,8000,201503
201908,1915469,1,12,7074493,0,0033,30000,201606
201905,873656,1,05,7149496,0,0033,40000,201903
201903,1391619,1,12,903248,0,0033,30000,201711
201808,734657,1,01,7457088,0,0033,9000000,201712
202004,1915469,1,12,7074493,0,0033,30000,201606
201806,768803,1,03,2428250,0,0033,100,201001
201905,747150,1,12,4120588,0,0033,20000,201812
202006,1930469,1,01,6863898,0,0033,10000,201605
201903,260549,1,01,8216789,0,0033,20000,201901
202004,1932124,1,01,5419367,0,0033,40000,201801
202003,396442,1,01,4201313,0,0033,600000,201012
201808,853421,1,01,3676551,0,0033,200000,201802
201904,1796523,1,17,681251,0,0033,20000,201808
201909,761251,1,01,8128179,0,0033,100,201101
202006,555603,1,01,3150812,0,0033,200000,200906
202002,200893,1,12,1226976,0,0033,50000,202001
201808,1651459,1,12,7702353,0,0033,500000,201806
202002,524888,1,21,4569384,0,0033,60000,201305
202003,878563,1,17,7169091,0,0033,30000,201905
201901,1750060,1,17,2737521,0,0033,90000,201703
201907,1677104,1,17,9434411,0,0033,40000,201811
202004,370061,1,12,6147074,0,0033,10000,201102
202001,1091705,1,16,4022289,0,0033,50000,201511
202005,728960,1,01,3886425,0,0033,3000,201810
201908,1704937,1,12,8693550,0,0033,8000,200501
201911,1415760,1,12,675259,0,0033,60000,201901
202006,1843588,1,12,5921433,0,0033,200000,202005
201906,223979,1,01,9970516,0,0033,10000,201802
201909,263369,1,16,1305026,0,0033,30000,201501
202001,1046167,1,01,9554111,0,0033,10000,201806
201808,1336667,1,12,5235630,0,0033,20000,201710
201901,1549991,1,01,53727,0,0033,100000,201509
201912,1643484,1,17,8524992,0,0033,80000,201712
